strategy,timing,targets,final_reach,remaining_edges,max_depth,reach_reduction_percent,edge_reduction_percent
none,none,0,12310,13702,5,0.0,0.0
fact_checking,early,0,5752,6254,5,53.27376116978066,54.35702817106992
content_moderation,early,0,5971,6446,5,51.494719740048744,52.95577287987155
targeted_intervention,early,10,10331,11372,5,16.076360682372055,17.004816815063496
fact_checking,mid,0,9049,9954,5,26.490658001624695,27.353670996934753
content_moderation,mid,0,8245,9057,5,33.021933387489845,33.900160560502115
targeted_intervention,mid,10,10731,11822,5,12.826969943135664,13.720624726317327
fact_checking,late,0,11552,12811,5,6.157595450852965,6.502700335717414
content_moderation,late,0,10445,11539,5,15.150284321689684,15.786016639906583
targeted_intervention,late,10,11522,12763,5,6.401299756295694,6.853014158517006
